id,product,price
712,Tea - Grapefruit Green Tea,$7.02
713,Savory,$4.62
714,Chicken - Soup Base,$6.46
715,Pork - Belly Fresh,$1.49
716,"Lemonade - Strawberry, 591 Ml",$9.84
717,Remy Red,$8.81
718,"Juice - Grapefruit, 341 Ml",$6.19
719,Sobe - Lizard Fuel,$0.58
720,Juice - Lagoon Mango,$9.66
721,Bouillion - Fish,$4.66
722,Foil Cont Round,$8.78
723,"Soup - Knorr, Country Bean",$3.71
724,Soup - Verve - Chipotle Chicken,$6.92
725,"Beef - Roasted, Cooked",$9.08
726,"Wine - White, Cooking",$7.83
727,Muffin Hinge - 211n,$7.96
728,"Veal - Brisket, Provimi, Bone - In",$2.65
729,"Pasta - Linguini, Dry",$6.06
730,Syrup - Chocolate,$6.07
731,"Lemonade - Black Cherry, 591 Ml",$1.50
732,Bananas,$4.61
733,Garam Marsala,$7.65
734,"Mushroom - Morels, Dry",$5.14
735,Scallops - 10/20,$0.05
736,Lid Coffeecup 12oz D9542b,$4.51
737,"Mushroom - Enoki, Dry",$1.68
738,Butter - Salted,$1.63
739,Kirsch - Schloss,$9.49
740,Potatoes - Fingerling 4 Oz,$6.31
741,Sour Puss Sour Apple,$3.56
742,Radish - Pickled,$8.38
743,"Salsify, Organic",$5.31
744,Marjoram - Fresh,$4.78
745,"Pork - Back, Short Cut, Boneless",$7.88
746,Cucumber - English,$8.56
747,Wine - Chablis J Moreau Et Fils,$2.40
748,Bar Special K,$5.75
749,Wine - Sauvignon Blanc Oyster,$4.57
750,Jack Daniels,$7.80
751,Iced Tea Concentrate,$0.47
752,Ham - Cooked Italian,$2.59
753,Marzipan 50/50,$6.69
754,Pepper - Green,$6.84
755,"Wine - Magnotta, White",$4.13
756,"Veal - Shank, Pieces",$5.40
757,Mussels - Frozen,$5.79
758,Oil - Grapeseed Oil,$3.53
759,Mousse - Mango,$7.51
760,Coffee Cup 16oz Foam,$1.28
761,"Rum - Cream, Amarula",$3.93
762,"Mushroom - Chanterelle, Dry",$6.75
763,"Rum - Light, Captain Morgan",$4.02
764,Puff Pastry - Slab,$5.53
765,Plaintain,$9.42
766,Kiwi Gold Zespri,$7.94
767,"Pork - Tenderloin, Fresh",$0.70
768,Soup - Campbells Chili Veg,$2.65
769,Wine - Ice Wine,$1.06
770,"Oil - Truffle, White",$4.92
771,Food Colouring - Green,$8.14
772,Ecolab - Hobart Washarm End Cap,$6.24
773,Cake - Pancake,$1.96
774,Cloves - Ground,$2.96
775,Carrots - Mini Red Organic,$7.22
776,Rice Paper,$5.76
777,Bowl 12 Oz - Showcase 92012,$0.94
778,Mangoes,$9.11
779,Bread - Italian Sesame Poly,$1.59
780,Wine - Magnotta - Belpaese,$5.55
781,Appetizer - Sausage Rolls,$6.66
782,External Supplier,$6.04
783,Kohlrabi,$3.86
784,"Lobster - Baby, Boiled",$5.30
785,Pastry - Cheese Baked Scones,$7.85
786,Vanilla Beans,$9.72
787,The Pop Shoppe - Root Beer,$9.72
788,"Wine - Magnotta, Merlot Sr Vqa",$7.61
789,Arizona - Green Tea,$5.87
790,"Beef - Tongue, Fresh",$7.53
791,Fuji Apples,$5.59
792,"Nut - Pine Nuts, Whole",$4.57
793,Cake - Pancake,$5.53
794,Towel Multifold,$5.29
795,"Wine - Red, Concha Y Toro",$1.07
796,Scallops 60/80 Iqf,$4.82
797,"Sole - Dover, Whole, Fresh",$5.24
798,"Rum - Spiced, Captain Morgan",$5.41
799,Corn Shoots,$4.49
800,"Split Peas - Green, Dry",$7.68
801,Celery Root,$0.70
802,Beans - Soya Bean,$1.16
803,Garlic Powder,$4.84
804,Strawberries - California,$8.91
805,"Wine - White, Gewurtzraminer",$0.09
806,Chocolate - Liqueur Cups With Foil,$3.04
807,Wine - Ruffino Chianti,$2.80
808,Beets - Mini Golden,$7.42
809,Lamb - Ground,$2.65
810,Arizona - Plum Green Tea,$7.76
811,Mushroom - Chanterelle Frozen,$2.04
812,"Beans - Turtle, Black, Dry",$5.00
813,Apricots - Dried,$7.96
814,Blueberries - Frozen,$6.51
815,Nestea - Iced Tea,$4.45
816,Bread - Pumpernickel,$5.65
817,"Lid - Translucent, 3.5 And 6 Oz",$0.22
818,Alize Sunset,$4.44
819,Anchovy Paste - 56 G Tube,$0.14
820,Nori Sea Weed,$9.31
821,Wine - Vovray Sec Domaine Huet,$6.32
822,Dried Apple,$5.42
823,Crackers Cheez It,$4.09
824,"Chestnuts - Whole,canned",$5.70
825,Wine - Zinfandel Rosenblum,$4.45
826,Tuna - Fresh,$0.77
827,Fork - Plastic,$9.84
828,Tart - Raisin And Pecan,$5.34
829,"Mushroom - Shitake, Dry",$2.46
830,Longos - Chicken Cordon Bleu,$7.47
831,Chips Potato Swt Chilli Sour,$2.01
832,"Chilli Paste, Sambal Oelek",$0.75
833,Wine - Stoneliegh Sauvignon,$0.49
834,Appetizer - Southwestern,$5.81
835,"Bread - Sticks, Thin, Plain",$8.46
836,Beer - Steamwhistle,$4.44
837,Broccoli - Fresh,$9.79
838,Wine - Conde De Valdemar,$2.09
839,Puree - Strawberry,$7.54
840,Vector Energy Bar,$5.09
841,Oats Large Flake,$3.51
842,Tequila Rose Cream Liquor,$8.56
843,"Hickory Smoke, Liquid",$2.37
844,Pork Ham Prager,$8.64
845,Pastrami,$3.77
846,Wine - Chardonnay South,$4.49
847,"Wine - White, Pinot Grigio",$3.05
848,"Lamb - Whole, Frozen",$8.27
849,Cheese - Montery Jack,$5.30
850,Lambcasing,$2.80
851,Pants Custom Dry Clean,$3.95
852,Kippers - Smoked,$4.09
853,Apple - Custard,$5.82
854,Browning Caramel Glace,$6.48
855,"Soup - Campbells, Classic Chix",$9.72
856,Sole - Fillet,$3.40
857,Bread Foccacia Whole,$7.91
858,Bread - Kimel Stick Poly,$8.33
859,"Beef - Chuck, Boneless",$3.24
860,Cheese - Swiss Sliced,$6.59
861,Clams - Canned,$8.87
862,Beets,$1.13
863,Chives - Fresh,$8.58
864,Pasta - Ravioli,$6.57
865,Lentils - Green Le Puy,$8.10
866,Chocolate Liqueur - Godet White,$3.31
867,"Tabasco Sauce, 2 Oz",$7.48
